Indicateur clé;Unité;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25
Primaire : Effectifs inscrits ;Nombre;3370558;3617219;3772136;3900222;4003884;4101430;4102825;4252503;4632727;4817661;-
TBS Primaire;%;95,5;101,3;104,6;100,6;101,1;101,2;98;101,1;104,8;105,93;-
TNS Primaire ;%;78.9;87.8;91.0;91.1;91.3;91.5;92.1;92.6;95.4;96.46;-
Taux achèvement primaire ;%;63.9;68.7;76.7;77.7;80.5;82.1;83.7;78.0;82.8;85.2;-
Indice parité primaire (F/G) ;Valeur;0,88;0,89;0,91;0,92;0,93;0,94;1.03;1,05;1;1,03;-
Élèves masculins primaire;Nombre;1796107;1912203;1979050;2031834;2071585;2119318;2110267;2183696;2378563;2404651;-
Élèves féminins primaire;Nombre;1574451;1705016;1793086;1868388;1932299;1982112;1992558;2068807;2254174;2413010;-
Enseignants (H) primaire;Nombre;57906;61258;62321;64474;65364;66240;65175;65051;66415;64815;-
Enseignantes (F) primaire;Nombre;22249;23851;26435;28783;30892;34845;35088;36619;39087;39603;-
Écoles primaires ;Nombre;14857;15547;16324;16957;17615;18258;18757;19132;19470;19898;-
Secondaire : Taux scolarisation ;%;41.8;45.1;49.1;52.8;55.5;58.6;60.8;62.0;73.0;96.5;-
Taux achèvement secondaire ;%;16.2;18.7;23.3;25.8;26.6;33.5;32.2;40.8;38.1;46.2;-
Élèves masculins secondaire;Nombre;875761;949729;1033523;1092910;1182014;1244454;1313896;1271047;1266379;1612591;-
Élèves féminins secondaire;Nombre;603244;672145;757660;830853;928485;1020515;1122118;1120363;1164012;1505190;-
Écoles secondaires ;Nombre;1373;1479;1641;1778;2019;2331;2737;3026;3430;3590;-
Taux réussite CEPE ;%;82.12;83.33;80.98;83.57;84.51;-;52.44;64.76;71.28;83.46;86.58
Taux réussite BEPC ;%;58.62;59.11;60.08;60.14;57.31;53.17;41.27;28.89;31.45;40.18;51.41
Taux réussite BAC ;%;39.66;42.38;44.98;46.09;41.23;52.94;29.24;30.78;32.09;34.17;40.15
Nombre d’enseignants hommes – secondaire;Nombre;44 307;45 892;50 402;50 548;53 033;61 333;60 951;67 882;67 935;72 195;
Nombre d’enseignantes femmes – secondaire;Nombre;6 885;7 645;8 464;8 808;8 305;9 914;10 276;11 505;11 850;13 228;
Enseignant Qualifiés - Secondaire  ;(%);-;100.0;-;100.0;-;100.0;100.0;100.0;100.0;100.0;100.0
Enseignant Qualifiés - Primaire ;(%);82.8;84.9;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Dépenses gouv. (% dépenses totales) ;%;21.6;21.8;21.2;22.4;20.6;18.3;19.8;18.6;16.3;15.9;15.9
Ratio  E/M primaire;Nombre;42;43;43;43;42;42;42;42;45;47;
Nombre d'écoles primaires;Nombre;14857;15547;16324;16957;17615;18258;18757;19132;19470;19898;
Nombre d'écoles secondaire;Nombre;1373;1479;1641;1778;2019;2331;2737;3026;3430;3590;
Electricity Primary;(%);30.5;30;28.7;29.9;38.2;45.8;61.1;60.4;66.0;66.6;‐
Eau potable primaire;;69,8;51,4;43,2;42,6;42;58,2;46,8;57,5;67,4;68;‐
Electricity Secondaire;(%);-;-;-;100;86,1;67,2;77,7;79,1;91,3;-;‐
Eau potable Secondaire;;-;-;-;100;-;91,2;97,6;98,4;69,4;-;‐
